"Key","Adv","ObDate","WindField","NE","SE","SW","NW"
"AL072016",41,2016-09-01 21:00:00,"50","70","100","80","40"
"AL072016",41,2016-09-01 21:00:00,"34","130","160","140","90"
"AL072016",40,2016-09-01 15:00:00,"64","40","70","40","30"
"AL072016",40,2016-09-01 15:00:00,"50","70","100","60","50"
"AL072016",40,2016-09-01 15:00:00,"34","130","160","140","90"
"AL072016",39,2016-09-01 09:00:00,"64","40","40","40","30"
"AL072016",39,2016-09-01 09:00:00,"50","70","90","60","50"
"AL072016",39,2016-09-01 09:00:00,"34","130","150","130","90"
"AL072016",38,2016-09-01 03:00:00,"64","40","40","40","30"
"AL072016",38,2016-09-01 03:00:00,"50","70","90","60","50"
"AL072016",38,2016-09-01 03:00:00,"34","130","150","130","90"
"AL072016",37,2016-08-31 21:00:00,"64","40","40","40","30"
"AL072016",37,2016-08-31 21:00:00,"50","70","90","60","50"
"AL072016",37,2016-08-31 21:00:00,"34","130","150","120","90"
"AL072016",36,2016-08-31 15:00:00,"64","40","40","40","30"
"AL072016",36,2016-08-31 15:00:00,"50","60","80","60","50"
"AL072016",36,2016-08-31 15:00:00,"34","120","150","120","90"
"AL072016",35,2016-08-31 09:00:00,"64","40","40","40","30"
"AL072016",35,2016-08-31 09:00:00,"50","50","80","60","50"
"AL072016",35,2016-08-31 09:00:00,"34","100","140","120","80"
"AL072016",34,2016-08-31 03:00:00,"64","40","35","30","30"
"AL072016",34,2016-08-31 03:00:00,"50","60","70","60","50"
"AL072016",34,2016-08-31 03:00:00,"34","120","140","100","90"
"AL072016",33,2016-08-30 21:00:00,"64","40","35","30","30"
"AL072016",33,2016-08-30 21:00:00,"50","60","70","60","50"
"AL072016",33,2016-08-30 21:00:00,"34","120","130","100","90"
"AL072016",32,2016-08-30 15:00:00,"64","35","35","25","25"
"AL072016",32,2016-08-30 15:00:00,"50","60","60","40","40"
"AL072016",32,2016-08-30 15:00:00,"34","120","120","80","80"
"AL072016",31,2016-08-30 09:00:00,"64","35","35","25","25"
"AL072016",31,2016-08-30 09:00:00,"50","60","60","40","40"
"AL072016",31,2016-08-30 09:00:00,"34","120","120","80","80"
"AL072016",30,2016-08-30 03:00:00,"64","30","30","20","20"
"AL072016",30,2016-08-30 03:00:00,"50","60","60","40","40"
"AL072016",30,2016-08-30 03:00:00,"34","120","120","80","80"
"AL072016",29,2016-08-29 21:00:00,"64","30","30","20","20"
"AL072016",29,2016-08-29 21:00:00,"50","60","60","40","40"
"AL072016",29,2016-08-29 21:00:00,"34","120","120","80","80"
"AL072016",28,2016-08-29 15:00:00,"64","30","20","10","20"
"AL072016",28,2016-08-29 15:00:00,"50","60","40","20","40"
"AL072016",28,2016-08-29 15:00:00,"34","120","120","50","80"
"AL072016",27,2016-08-29 09:00:00,"64","30","20","10","20"
"AL072016",27,2016-08-29 09:00:00,"50","60","40","20","40"
"AL072016",27,2016-08-29 09:00:00,"34","120","120","50","80"
"AL072016",26,2016-08-29 03:00:00,"64","30","20","10","20"
"AL072016",26,2016-08-29 03:00:00,"50","60","40","20","40"
"AL072016",26,2016-08-29 03:00:00,"34","120","120","50","80"
"AL072016",25,2016-08-28 21:00:00,"64","20","20","10","20"
"AL072016",25,2016-08-28 21:00:00,"50","60","40","20","40"
"AL072016",25,2016-08-28 21:00:00,"34","120","120","50","80"
"AL072016",24,2016-08-28 15:00:00,"64","20","20","10","20"
"AL072016",24,2016-08-28 15:00:00,"50","60","40","20","40"
"AL072016",24,2016-08-28 15:00:00,"34","120","120","50","80"
"AL072016",23,2016-08-28 09:00:00,"64","15","15","10","15"
"AL072016",23,2016-08-28 09:00:00,"50","60","40","20","40"
