"Key","Adv","ObDate","FcstDate","Lat","Lon","Wind","Gust"
"AL142016",35,2016-10-06 21:00:00,2016-10-07 06:00:00,27.6,-79.9,115,140
"AL142016",35,2016-10-06 21:00:00,2016-10-07 18:00:00,29.6,-81,110,135
"AL142016",35,2016-10-06 21:00:00,2016-10-08 06:00:00,31.2,-81,95,115
"AL142016",35,2016-10-06 21:00:00,2016-10-08 18:00:00,32.1,-80,80,100
"AL142016",35,2016-10-06 21:00:00,2016-10-09 18:00:00,31.5,-76.5,60,75
"AL142016",35,2016-10-06 21:00:00,2016-10-10 18:00:00,29,-76.5,50,60
"AL142016",35,2016-10-06 21:00:00,2016-10-11 18:00:00,27.5,-77.5,40,50
"AL142016",34,2016-10-06 15:00:00,2016-10-07 00:00:00,26.4,-79,125,150
"AL142016",34,2016-10-06 15:00:00,2016-10-07 12:00:00,28.3,-80.4,125,150
"AL142016",34,2016-10-06 15:00:00,2016-10-08 00:00:00,30.2,-81.1,115,140
"AL142016",34,2016-10-06 15:00:00,2016-10-08 12:00:00,31.7,-80,95,115
"AL142016",34,2016-10-06 15:00:00,2016-10-09 12:00:00,32.5,-76.5,75,90
"AL142016",34,2016-10-06 15:00:00,2016-10-10 12:00:00,30.5,-75,50,60
"AL142016",34,2016-10-06 15:00:00,2016-10-11 12:00:00,28.5,-76,40,50
"AL142016",33,2016-10-06 09:00:00,2016-10-06 18:00:00,25.5,-78.4,120,145
"AL142016",33,2016-10-06 09:00:00,2016-10-07 06:00:00,27.2,-79.9,125,150
"AL142016",33,2016-10-06 09:00:00,2016-10-07 18:00:00,29,-80.7,115,140
"AL142016",33,2016-10-06 09:00:00,2016-10-08 06:00:00,30.7,-80.7,95,115
"AL142016",33,2016-10-06 09:00:00,2016-10-09 06:00:00,32.4,-77.6,80,100
"AL142016",33,2016-10-06 09:00:00,2016-10-10 06:00:00,31,-75,60,75
"AL142016",33,2016-10-06 09:00:00,2016-10-11 06:00:00,29.5,-75,50,60
"AL142016",32,2016-10-06 03:00:00,2016-10-06 12:00:00,24.6,-77.6,105,130
"AL142016",32,2016-10-06 03:00:00,2016-10-07 00:00:00,26.4,-79.2,115,140
"AL142016",32,2016-10-06 03:00:00,2016-10-07 12:00:00,28.2,-80.4,115,140
"AL142016",32,2016-10-06 03:00:00,2016-10-08 00:00:00,30.1,-81,110,135
"AL142016",32,2016-10-06 03:00:00,2016-10-09 00:00:00,32.5,-78.5,90,110
"AL142016",32,2016-10-06 03:00:00,2016-10-10 00:00:00,32,-75.5,70,85
"AL142016",32,2016-10-06 03:00:00,2016-10-11 00:00:00,30.5,-73.5,55,65
"AL142016",31,2016-10-05 21:00:00,2016-10-06 06:00:00,24,-76.9,110,135
"AL142016",31,2016-10-05 21:00:00,2016-10-06 18:00:00,25.6,-78.5,115,140
"AL142016",31,2016-10-05 21:00:00,2016-10-07 06:00:00,27.2,-79.8,115,140
"AL142016",31,2016-10-05 21:00:00,2016-10-07 18:00:00,29,-80.8,115,140
"AL142016",31,2016-10-05 21:00:00,2016-10-08 18:00:00,32,-79.5,90,110
"AL142016",31,2016-10-05 21:00:00,2016-10-09 18:00:00,32.6,-76.4,80,100
"AL142016",31,2016-10-05 21:00:00,2016-10-10 18:00:00,30,-74,65,80
